stim_id,condition,domain,maj_decision,avg_decision,mwe_decision,n_raters,TP
214,100_0,human,1,1,1,12,False
215,50_50,human,0,0,1,12,True
215,80_20,human,0,0,0,12,True
215,100_0,human,1,1,1,12,True
216,50_50,human,1,1,1,12,True
216,80_20,human,1,1,1,12,True
216,100_0,human,1,1,1,12,True
217,50_50,human,1,1,1,12,False
217,80_20,human,1,1,1,12,False
217,100_0,human,1,1,1,12,False
218,50_50,human,1,1,1,12,False
218,80_20,human,1,1,1,12,False
218,100_0,human,1,1,1,12,False
219,50_50,human,1,1,1,12,False
219,80_20,human,1,1,1,12,False
219,100_0,human,0,0,0,12,False
220,50_50,human,1,1,1,12,True
220,80_20,human,1,1,1,12,True
220,100_0,human,1,1,1,12,True
221,50_50,human,0,0,1,12,False
221,80_20,human,0,0,0,12,False
221,100_0,human,0,0,0,12,False
222,50_50,human,1,1,1,12,False
222,80_20,human,1,1,1,12,False
222,100_0,human,0,0,1,12,False
223,50_50,human,1,1,1,12,True
223,80_20,human,1,1,1,12,True
223,100_0,human,1,1,1,12,True
224,50_50,human,1,1,1,12,True
224,80_20,human,1,1,1,12,True
224,100_0,human,1,1,1,12,True
225,50_50,human,1,1,1,12,True
225,80_20,human,1,1,1,12,True
225,100_0,human,1,1,1,12,True
226,50_50,human,1,1,1,12,True
226,80_20,human,0,0,1,12,True
226,100_0,human,0,0,1,12,True
227,50_50,human,1,1,1,12,True
227,80_20,human,1,1,1,12,True
227,100_0,human,1,1,1,12,True
228,50_50,human,0,0,1,12,False
228,80_20,human,0,0,0,12,False
228,100_0,human,0,0,1,12,False
229,50_50,human,1,1,1,12,True
229,80_20,human,1,1,1,12,True
229,100_0,human,1,1,1,12,True
230,50_50,human,0,0,0,12,True
230,80_20,human,1,1,1,12,True
230,100_0,human,1,1,1,12,True
231,50_50,human,1,1,1,12,True
231,80_20,human,1,1,1,12,True
231,100_0,human,1,1,1,12,True
232,50_50,human,1,1,1,12,True
232,80_20,human,1,1,1,12,True
232,100_0,human,1,1,1,12,True
233,50_50,human,1,1,1,12,False
233,80_20,human,1,1,1,12,False
233,100_0,human,0,0,0,12,False
234,50_50,human,0,0,1,12,False
234,80_20,human,0,0,0,12,False
234,100_0,human,0,0,0,12,False
235,50_50,human,1,1,1,12,False
235,80_20,human,1,1,1,12,False
235,100_0,human,0,0,1,12,False
236,50_50,human,0,0,0,12,False
236,80_20,human,0,0,0,12,False
236,100_0,human,0,0,0,12,False
237,50_50,human,1,1,1,12,True
237,80_20,human,1,1,1,12,True
237,100_0,human,1,1,1,12,True
238,50_50,human,1,1,1,12,True
238,80_20,human,0,0,1,12,True
238,100_0,human,1,1,1,12,True
239,50_50,human,1,1,1,12,False
239,80_20,human,1,1,1,12,False
239,100_0,human,0,0,1,12,False
240,50_50,human,0,0,1,12,False
240,80_20,human,0,0,1,12,False
240,100_0,human,0,0,1,12,False
